success mcic calc_mcic percent game_percent offer puo cop co co1 co2 mid fo retries
1 20 20 76.1 77 2575127 102.272 1.1007 2834442 2830000 2716450 1 1 1
1 20 20 77.9 78 2613069 102.449 1.1007 2876205 2870000 2720350 0 1 1
1 20 20 78.9 79 2651127 102.625 1.1007 2918095 2910000 2813702 2 1 1
1 20 20 79.3 80 2689300 102.801 1.1007 2960112 2960000 2801375 0 1 1
1 20 20 80.2 81 2727589 102.978 1.1007 3002257 3000000 2878351 1 1 1
1 20 20 81.5 82 2765993 103.154 1.1007 3044528 3040000 2937688 2 1 1
1 20 20 82.8 83 2804512 103.331 1.1007 3086926 3080000 2919585 0 1 1
1 20 20 83.5 84 2843147 103.507 1.1007 3129451 3120000 2959160 0 1 1
1 20 20 84.5 85 2881897 103.684 1.1007 3172104 3170000 3001472 0 1 1
1 20 20 85.9 86 2920881 103.86 1.1007 3215013 3210000 3081189 1 1 1
1 20 20 86.4 87 2959743 104.036 1.1007 3257789 3250000 3141905 2 1 1
1 20 20 87.7 88 2998839 104.213 1.1007 3300822 3300000 3257671 1 0 1
1 20 20 88.3 89 3038051 104.389 1.1007 3343982 3340000 3227160 2 1 1
1 20 20 89.7 90 3077377 104.565 1.1007 3387268 3380000 3203732 0 1 1
1 20 20 90.4 91 3116820 104.742 1.1007 3430683 3430000 3246565 0 1 1
1 20 20 91.4 92 3156377 104.918 1.1007 3474224 3470000 3330134 1 1 1
1 20 20 93 93 3196050 105.095 1.1007 3517892 3510000 3393032 2 1 1
1 20 20 93.1 94 3235838 105.271 1.1007 3561686 3560000 3438612 2 1 1
1 20 20 95 95 3275742 105.447 1.1007 3605609 3600000 3455530 1 1 1
1 20 20 96 96 3315761 105.624 1.1007 3649658 3640000 3519344 2 1 1
1 20 20 96.9 97 3355896 105.8 1.1007 3693834 3690000 3494772 0 1 1
1 20 20 98 98 3396145 105.977 1.1007 3738136 3730000 3535557 0 1 1
1 20 20 98.5 99 3436510 106.153 1.1007 3782566 3780000 3626579 1 1 1
1 20 20 100 100 3476991 106.33 1.1007 3827123 3820000 3620042 0 1 1
1 21 20 0.2 1 29033 88.785 1.1007 31956 31900 30844 2 1 1
1 21 20 1.4 2 58186 88.969 1.1007 64045 64000 61440 1 1 1
1 21 20 2.7 3 87461 89.154 1.1007 96268 96200 92974 2 1 1
1 21 20 3.2 4 116856 89.339 1.1007 128623 128000 123940 2 1 1
1 21 20 5 5 146373 89.524 1.1007 161112 161000 155601 2 1 1
1 21 20 5.7 6 176010 89.709 1.1007 193734 193000 185588 1 1 1
1 21 20 7 7 205769 89.894 1.1007 226489 226000 214385 0 1 1
1 21 20 7.2 8 235649 90.079 1.1007 259378 259000 250402 2 1 1
1 21 20 8.4 9 265649 90.264 1.1007 292399 292000 280417 1 1 1
1 21 20 9.3 10 295771 90.449 1.1007 325555 325000 314245 2 1 1
1 21 20 10.6 11 326014 90.634 1.1007 358843 358000 339650 0 1 1
1 21 20 11.9 12 356377 90.819 1.1007 392264 392000 376309 1 1 1
