product success mcic calc_mcic percent game_percent offer puo cop co co1 co2 mid fo
ore 1 40 40 27.7 27 245797 27.138 1.208 296554 296000 261473 0 1
org 1 30 30 27.7 27 480156 53.014 1.154 553379 553000 523579 2 1
equ 1 20 20 27.7 27 847516 93.575 1.102 932521 932000 889119 1 1
ore 1 40 40 28.9 28 257553 27.254 1.208 310737 310000 273958 0 1
org 1 30 30 28.9 28 502644 53.189 1.154 579297 579000 540491 1 1
equ 1 20 20 28.9 28 886295 93.787 1.102 975190 975000 912717 0 1
ore 1 40 40 29.4 29 262456 27.302 1.208 316653 316000 279187 0 1
org 1 30 30 29.4 29 512011 53.262 1.154 590092 590000 558466 2 1
equ 1 20 20 29.4 29 902427 93.875 1.102 992940 992000 955670 2 1
ore 1 40 40 30.2 30 270368 27.379 1.208 326198 326000 298125 1 1
org 1 30 30 30.2 30 527175 53.379 1.154 607569 607000 551548 0 1
equ 1 20 20 30.2 30 928419 94.017 1.102 1021539 1020000 973644 1 1
ore 1 40 40 31.3 31 281307 27.484 1.208 339396 339000 299280 0 1
org 1 30 30 31.3 31 547973 53.539 1.154 631538 631000 589153 1 1
equ 1 20 20 31.3 31 964252 94.211 1.102 1060966 1060000 992905 0 1
ore 1 40 40 32.4 32 292290 27.59 1.208 352647 352000 310933 0 1
org 1 30 30 32.4 32 568886 53.698 1.154 655641 655000 611608 1 1
equ 1 20 20 32.4 32 1000126 94.404 1.102 1100438 1100000 1049286 1 1
ore 1 40 40 33.4 33 302361 27.686 1.208 364798 364000 321631 0 1
org 1 30 30 33.4 33 588034 53.844 1.154 677709 677000 641090 2 1
equ 1 20 20 33.4 33 1032923 94.581 1.102 1136525 1130000 1062971 0 1
ore 1 40 40 34.2 34 310475 27.763 1.208 374588 374000 342215 1 1
org 1 30 30 34.2 34 603445 53.96 1.154 695470 695000 631367 0 1
equ 1 20 20 34.2 34 1059284 94.722 1.102 1165530 1160000 1119615 2 1
ore 1 40 40 35.3 35 321689 27.868 1.208 388117 388000 361332 2 1
org 1 30 30 35.3 35 624779 54.121 1.154 720057 720000 681494 2 1
equ 1 20 20 35.3 35 1095625 94.916 1.102 1205516 1200000 1147657 1 1
ore 1 40 40 36.3 36 331942 27.964 1.208 400488 400000 365927 1 1
org 1 30 30 36.3 36 644145 54.266 1.154 742377 742000 692645 1 1
equ 1 20 20 36.3 36 1128757 95.093 1.102 1241971 1240000 1183706 1 1
ore 1 40 40 37.8 37 347423 28.108 1.208 419165 419000 390218 2 1
org 1 30 30 37.8 37 673430 54.484 1.154 776128 776000 734530 2 1
equ 1 20 20 37.8 37 1178620 95.357 1.102 1296835 1290000 1234266 1 1
ore 1 40 40 38.7 38 356779 28.194 1.208 430453 430000 400584 2 1
org 1 30 30 38.7 38 691104 54.615 1.154 796497 796000 753625 2 1
equ 1 20 20 38.7 38 1208662 95.516 1.102 1329890 1320000 1275747 2 1
ore 1 40 40 39.5 39 365159 28.271 1.208 440564 440000 409945 2 1
org 1 30 30 39.5 39 706919 54.732 1.154 814724 814000 770765 2 1
equ 1 20 20 39.5 39 1235513 95.657 1.102 1359434 1350000 1304418 2 1
ore 1 40 40 40.7 40 377773 28.386 1.208 455783 455000 416367 1 1
org 1 30 30 40.7 40 730695 54.906 1.154 842125 842000 796998 2 1
